Gavel Club,Question Of The Day: [QUESTION HERE],,,,
Time:,Roles:,,NAME,,
6:45,Sergeant at Arms,,NAME,,
6:47,Toastmaster,,NAME,,
6:49,Timer,,NAME,,
6:51,Grammarian,,NAME,,
6:53,Filler Word Counter,,NAME,,
6:55,Quizmaster,,NAME,,
6:57,Speaker #1,,NAME,,
7:02,General Feedback #1,,NAME,,
7:04,Speaker #2,,NAME,,
7:11,General Feadback #2,,NAME,,
7:13,Speaker 3,,NAME,,
7:20,General Feedback  #3,,NAME,,
7:22,Evaluator #1,,NAME,,
7:25,Evaluator #2,,NAME,,
7:28,Evaluator #3,,NAME,,
7:31,Roles For Next Meeting,,John,,
7:35,Break Time,,NAME,,
7:40,Business Meeting,,Andrew,,
7:45,Table Topics Master,,NAME,,
8:05,Table Topics Evaluator #1,,NAME,,
8:10,Table Topics Evaluator #2,,NAME,,
8:15,Timer,,NAME,,
8:17,Grammarian,,NAME,,
8:19,Filler Word Counter,,NAME,,
8:21,Quizmaster,,NAME,,
8:26,Comments and Closing Remarks,,NAME,,
8:29,Toastmaster,,NAME,,
8:30,Dismissal,,NAME,,
,,,,,
,BACKUP SPEAKER: ,,NAME,,
,No Roles: LIST PEOPLE WITHOUT ROLES HERE!,,,,
,NAME,NAME,NAME,NAME,
,NAME,NAME,NAME,NAME,
,CHANGELOG: WRITE ANY CHANGES HERE!,,,,
,Example: [John: Filler Word Counter ---> Timer],,,,
,1,,,,
,2,,,,
,3,,,,
,4,,,,
,5,,,,
